t 	 error 
4e-05	-0.583454
8e-05	-0.952281
0.00012	-1.29014
0.00016	-1.41143
0.0002	-1.51848
0.00024	-1.66213
0.00028	-1.69952
0.00032	-1.77685
0.00036	-1.83504
0.0004	-1.87127
0.00044	-1.91897
0.00048	-1.95732
0.00052	-1.99856
0.00056	-2.03326
0.0006	-2.06045
0.00064	-2.08825
0.00068	-2.11494
0.00072	-2.14137
0.00076	-2.16694
0.0008	-2.19197
0.00084	-2.215
0.00088	-2.23397
0.00092	-2.25279
0.00096	-2.27135
0.001	-2.28966
0.00104	-2.30768
0.00108	-2.3254
0.00112	-2.34281
0.00116	-2.3599
0.0012	-2.3746
0.00124	-2.38834
0.00128	-2.40197
0.00132	-2.41547
0.00136	-2.42882
0.0014	-2.44203
0.00144	-2.45508
0.00148	-2.46796
0.00152	-2.48069
0.00156	-2.49324
0.0016	-2.5044
0.00164	-2.51484
0.00168	-2.52521
0.00172	-2.5355
0.00176	-2.54571
0.0018	-2.55584
0.00184	-2.56588
0.00188	-2.57583
0.00192	-2.58568
0.00196	-2.59544
0.002	-2.6051
0.00204	-2.61461
0.00208	-2.62282
0.00212	-2.631
0.00216	-2.63912
0.0022	-2.6472
0.00224	-2.65523
0.00228	-2.6632
0.00232	-2.67112
0.00236	-2.67898
0.0024	-2.68679
0.00244	-2.69453
0.00248	-2.70222
0.00252	-2.70985
0.00256	-2.71742
0.0026	-2.72417
0.00264	-2.73075
0.00268	-2.73731
0.00272	-2.74383
0.00276	-2.75033
0.0028	-2.75678
0.00284	-2.7632
0.00288	-2.76959
0.00292	-2.77594
0.00296	-2.78225
0.003	-2.78852
0.00304	-2.79476
0.00308	-2.80096
0.00312	-2.80711
0.00316	-2.81319
0.0032	-2.81862
0.00324	-2.82403
0.00328	-2.82942
0.00332	-2.83479
0.00336	-2.84013
0.0034	-2.84545
0.00344	-2.85075
0.00348	-2.85602
0.00352	-2.86127
0.00356	-2.86649
0.0036	-2.87168
0.00364	-2.87685
0.00368	-2.882
0.00372	-2.88712
0.00376	-2.89221
0.0038	-2.89727
0.00384	-2.902
0.00388	-2.90653
0.00392	-2.91105
0.00396	-2.91555
0.004	-2.92003
0.00404	-2.9245
0.00408	-2.92895
0.00412	-2.93338
0.00416	-2.9378
0.0042	-2.9422
0.00424	-2.94658
0.00428	-2.95094
0.00432	-2.95528
0.00436	-2.95961
0.0044	-2.96392
0.00444	-2.96821
0.00448	-2.97248
0.00452	-2.97673
0.00456	-2.98075
0.0046	-2.9846
0.00464	-2.98843
0.00468	-2.99225
0.00472	-2.99606
0.00476	-2.99986
0.0048	-3.00364
0.00484	-3.00742
0.00488	-3.01118
0.00492	-3.01492
0.00496	-3.01866
0.005	-3.02238
0.00504	-3.02609
0.00508	-3.02978
0.00512	-3.03347
0.00516	-3.03713
0.0052	-3.04079
0.00524	-3.04443
0.00528	-3.04806
0.00532	-3.05167
0.00536	-3.05504
0.0054	-3.05834
0.00544	-3.06163
0.00548	-3.06491
0.00552	-3.06818
0.00556	-3.07145
0.0056	-3.0747
0.00564	-3.07794
0.00568	-3.08118
0.00572	-3.0844
0.00576	-3.08762
0.0058	-3.09083
0.00584	-3.09402
0.00588	-3.09721
0.00592	-3.10039
0.00596	-3.10355
0.006	-3.10671
0.00604	-3.10986
0.00608	-3.11299
0.00612	-3.11612
0.00616	-3.11924
0.0062	-3.12227
0.00624	-3.12514
0.00628	-3.128
0.00632	-3.13085
0.00636	-3.13369
0.0064	-3.13653
0.00644	-3.13936
0.00648	-3.14218
0.00652	-3.145
0.00656	-3.14781
0.0066	-3.15061
0.00664	-3.15341
0.00668	-3.15619
0.00672	-3.15897
0.00676	-3.16174
0.0068	-3.16451
0.00684	-3.16727
0.00688	-3.17002
0.00692	-3.17276
0.00696	-3.17549
0.007	-3.17822
0.00704	-3.18094
0.00708	-3.18365
0.00712	-3.18634
0.00716	-3.18885
0.0072	-3.19136
0.00724	-3.19385
0.00728	-3.19635
0.00732	-3.19883
0.00736	-3.20132
0.0074	-3.20379
0.00744	-3.20626
0.00748	-3.20873
0.00752	-3.21119
0.00756	-3.21364
0.0076	-3.21609
0.00764	-3.21853
0.00768	-3.22097
0.00772	-3.2234
0.00776	-3.22583
0.0078	-3.22825
0.00784	-3.23066
0.00788	-3.23307
0.00792	-3.23547
0.00796	-3.23787
0.008	-3.24026
0.00804	-3.24264
0.00808	-3.24502
0.00812	-3.24738
0.00816	-3.2496
0.0082	-3.25181
0.00824	-3.25401
0.00828	-3.25621
0.00832	-3.25841
0.00836	-3.2606
0.0084	-3.26279
0.00844	-3.26497
0.00848	-3.26715
0.00852	-3.26932
0.00856	-3.27149
0.0086	-3.27366
0.00864	-3.27582
0.00868	-3.27798
0.00872	-3.28013
0.00876	-3.28228
0.0088	-3.28442
0.00884	-3.28656
0.00888	-3.28869
0.00892	-3.29082
0.00896	-3.29295
0.009	-3.29507
0.00904	-3.29719
0.00908	-3.2993
0.00912	-3.3014
0.00916	-3.30351
0.0092	-3.30556
0.00924	-3.30753
0.00928	-3.30949
0.00932	-3.31145
0.00936	-3.31341
0.0094	-3.31536
0.00944	-3.31731
0.00948	-3.31925
0.00952	-3.3212
0.00956	-3.32313
0.0096	-3.32507
0.00964	-3.327
0.00968	-3.32893
0.00972	-3.33085
0.00976	-3.33277
0.0098	-3.33469
0.00984	-3.3366
0.00988	-3.33851
0.00992	-3.34042
0.00996	-3.34232
0.01	-3.34422
0.01004	-3.34612
0.01008	-3.34801
0.01012	-3.3499
0.01016	-3.35178
0.0102	-3.35366
0.01024	-3.35554
0.01028	-3.35741
0.01032	-3.35928
0.01036	-3.36107
0.0104	-3.36283
0.01044	-3.36458
0.01048	-3.36634
0.01052	-3.36808
0.01056	-3.36983
0.0106	-3.37157
0.01064	-3.37331
0.01068	-3.37505
0.01072	-3.37678
0.01076	-3.37852
0.0108	-3.38024
0.01084	-3.38197
0.01088	-3.38369
0.01092	-3.38541
0.01096	-3.38713
0.011	-3.38884
0.01104	-3.39056
0.01108	-3.39226
0.01112	-3.39397
0.01116	-3.39567
0.0112	-3.39737
0.01124	-3.39907
0.01128	-3.40076
0.01132	-3.40245
0.01136	-3.40414
0.0114	-3.40583
0.01144	-3.40751
0.01148	-3.40919
0.01152	-3.41086
0.01156	-3.41251
0.0116	-3.41409
0.01164	-3.41567
0.01168	-3.41725
0.01172	-3.41882
0.01176	-3.4204
0.0118	-3.42196
0.01184	-3.42353
0.01188	-3.4251
0.01192	-3.42666
0.01196	-3.42822
0.012	-3.42978
0.01204	-3.43133
0.01208	-3.43289
0.01212	-3.43444
0.01216	-3.43598
0.0122	-3.43753
0.01224	-3.43907
0.01228	-3.44062
0.01232	-3.44215
0.01236	-3.44369
0.0124	-3.44522
0.01244	-3.44676
0.01248	-3.44829
0.01252	-3.44981
0.01256	-3.45134
0.0126	-3.45286
0.01264	-3.45438
0.01268	-3.4559
0.01272	-3.45741
0.01276	-3.45892
0.0128	-3.46043
0.01284	-3.46194
0.01288	-3.46338
0.01292	-3.46481
0.01296	-3.46623
0.013	-3.46765
0.01304	-3.46908
0.01308	-3.4705
0.01312	-3.47191
0.01316	-3.47333
0.0132	-3.47474
0.01324	-3.47616
0.01328	-3.47757
0.01332	-3.47897
0.01336	-3.48038
0.0134	-3.48179
0.01344	-3.48319
0.01348	-3.48459
0.01352	-3.48599
0.01356	-3.48738
0.0136	-3.48878
0.01364	-3.49017
0.01368	-3.49156
0.01372	-3.49295
0.01376	-3.49434
0.0138	-3.49572
0.01384	-3.4971
0.01388	-3.49849
0.01392	-3.49986
0.01396	-3.50124
0.014	-3.50262
0.01404	-3.50399
0.01408	-3.50536
0.01412	-3.50673
0.01416	-3.5081
0.0142	-3.50946
0.01424	-3.51078
0.01428	-3.51208
0.01432	-3.51337
0.01436	-3.51466
0.0144	-3.51596
0.01444	-3.51725
0.01448	-3.51853
0.01452	-3.51982
0.01456	-3.52111
0.0146	-3.52239
0.01464	-3.52367
0.01468	-3.52495
0.01472	-3.52623
0.01476	-3.52751
0.0148	-3.52879
0.01484	-3.53006
0.01488	-3.53133
0.01492	-3.5326
0.01496	-3.53387
0.015	-3.53514
0.01504	-3.53641
0.01508	-3.53767
0.01512	-3.53893
0.01516	-3.54019
0.0152	-3.54145
0.01524	-3.54271
0.01528	-3.54397
0.01532	-3.54522
0.01536	-3.54647
0.0154	-3.54772
0.01544	-3.54897
0.01548	-3.55022
0.01552	-3.55147
0.01556	-3.55271
0.0156	-3.55396
0.01564	-3.5552
0.01568	-3.55641
0.01572	-3.55759
0.01576	-3.55877
0.0158	-3.55995
0.01584	-3.56113
0.01588	-3.5623
0.01592	-3.56348
0.01596	-3.56465
0.016	-3.56583
0.01604	-3.567
0.01608	-3.56817
0.01612	-3.56934
0.01616	-3.57051
0.0162	-3.57167
0.01624	-3.57284
0.01628	-3.574
0.01632	-3.57516
0.01636	-3.57632
0.0164	-3.57748
0.01644	-3.57864
0.01648	-3.5798
0.01652	-3.58095
0.01656	-3.58211
0.0166	-3.58326
0.01664	-3.58441
0.01668	-3.58556
0.01672	-3.58671
0.01676	-3.58785
0.0168	-3.589
0.01684	-3.59014
0.01688	-3.59129
0.01692	-3.59243
0.01696	-3.59357
0.017	-3.59471
0.01704	-3.59584
0.01708	-3.59698
0.01712	-3.59811
0.01716	-3.59925
0.0172	-3.60036
0.01724	-3.60144
0.01728	-3.60252
0.01732	-3.6036
0.01736	-3.60468
0.0174	-3.60576
0.01744	-3.60684
0.01748	-3.60791
0.01752	-3.60898
0.01756	-3.61006
0.0176	-3.61113
0.01764	-3.6122
0.01768	-3.61327
0.01772	-3.61434
0.01776	-3.61541
0.0178	-3.61647
0.01784	-3.61754
0.01788	-3.6186
0.01792	-3.61966
0.01796	-3.62073
0.018	-3.62179
0.01804	-3.62285
0.01808	-3.6239
0.01812	-3.62496
0.01816	-3.62602
0.0182	-3.62707
0.01824	-3.62813
0.01828	-3.62918
0.01832	-3.63023
0.01836	-3.63128
0.0184	-3.63233
0.01844	-3.63338
0.01848	-3.63442
0.01852	-3.63547
0.01856	-3.63651
0.0186	-3.63755
0.01864	-3.6386
0.01868	-3.63964
0.01872	-3.64068
0.01876	-3.64172
0.0188	-3.64274
0.01884	-3.64373
0.01888	-3.64472
0.01892	-3.64572
0.01896	-3.64671
0.019	-3.6477
0.01904	-3.64869
0.01908	-3.64968
0.01912	-3.65066
0.01916	-3.65165
0.0192	-3.65263
0.01924	-3.65362
0.01928	-3.6546
0.01932	-3.65558
0.01936	-3.65657
0.0194	-3.65755
0.01944	-3.65853
0.01948	-3.6595
0.01952	-3.66048
0.01956	-3.66146
0.0196	-3.66243
0.01964	-3.66341
0.01968	-3.66438
0.01972	-3.66535
0.01976	-3.66633
0.0198	-3.6673
0.01984	-3.66827
0.01988	-3.66923
0.01992	-3.6702
0.01996	-3.67117
0.02	-3.67213
0.02004	-3.6731
0.02008	-3.67406
0.02012	-3.67503
0.02016	-3.67599
0.0202	-3.67695
0.02024	-3.67791
0.02028	-3.67887
0.02032	-3.67982
0.02036	-3.68078
0.0204	-3.68174
0.02044	-3.68269
0.02048	-3.68364
0.02052	-3.68455
0.02056	-3.68547
0.0206	-3.68638
0.02064	-3.68729
0.02068	-3.68821
0.02072	-3.68912
0.02076	-3.69003
0.0208	-3.69094
0.02084	-3.69185
0.02088	-3.69276
0.02092	-3.69367
0.02096	-3.69457
0.021	-3.69548
0.02104	-3.69638
0.02108	-3.69729
0.02112	-3.69819
0.02116	-3.69909
0.0212	-3.7
0.02124	-3.7009
0.02128	-3.7018
0.02132	-3.7027
0.02136	-3.7036
0.0214	-3.70449
0.02144	-3.70539
0.02148	-3.70629
0.02152	-3.70718
0.02156	-3.70808
0.0216	-3.70897
0.02164	-3.70986
0.02168	-3.71075
