x 	 analitycal w t = 0.49999	KMB w t = 0.49999	analitycal w t = 0.99999	KMB w t = 0.99999	analitycal w t = 1.99998	KMB w t = 1.99998
1	0	0	0	0	0	0
1.005	0.00894472	0.00894474	0.00778205	0.00778205	0.00695992	0.00695992
1.01	0.0178008	0.0178008	0.015487	0.015487	0.0138509	0.0138509
1.015	0.0265694	0.0265694	0.023116	0.023116	0.020674	0.020674
1.02	0.0352518	0.0352518	0.0306701	0.0306701	0.0274301	0.0274302
1.025	0.043849	0.0438491	0.0381503	0.0381503	0.0341203	0.0341203
1.03	0.0523623	0.0523624	0.0455578	0.0455578	0.0407455	0.0407455
1.035	0.0607928	0.0607929	0.0528934	0.0528935	0.0473066	0.0473066
1.04	0.0691415	0.0691416	0.0601584	0.0601584	0.0538045	0.0538045
1.045	0.0774096	0.0774097	0.0673535	0.0673535	0.0602402	0.0602402
1.05	0.0855981	0.0855982	0.0744798	0.0744798	0.0666144	0.0666144
1.055	0.093708	0.0937082	0.0815382	0.0815382	0.0729281	0.0729281
1.06	0.10174	0.101741	0.0885296	0.0885297	0.0791821	0.0791822
1.065	0.109696	0.109696	0.095455	0.0954551	0.0853773	0.0853773
1.07	0.117577	0.117577	0.102315	0.102315	0.0915144	0.0915144
1.075	0.125382	0.125382	0.109111	0.109111	0.0975942	0.0975943
1.08	0.133114	0.133114	0.115844	0.115844	0.103618	0.103618
1.085	0.140774	0.140774	0.122514	0.122514	0.109585	0.109585
1.09	0.148361	0.148361	0.129122	0.129122	0.115498	0.115498
1.095	0.155878	0.155878	0.135669	0.135669	0.121357	0.121357
1.1	0.163324	0.163324	0.142157	0.142157	0.127162	0.127162
1.105	0.170701	0.170702	0.148584	0.148585	0.132914	0.132914
1.11	0.17801	0.178011	0.154954	0.154954	0.138614	0.138614
1.115	0.185252	0.185252	0.161265	0.161265	0.144263	0.144263
1.12	0.192427	0.192427	0.16752	0.16752	0.149861	0.149861
1.125	0.199536	0.199536	0.173718	0.173718	0.155409	0.155409
1.13	0.206579	0.20658	0.17986	0.17986	0.160908	0.160908
1.135	0.213559	0.213559	0.185948	0.185948	0.166358	0.166358
1.14	0.220475	0.220475	0.191981	0.191981	0.17176	0.17176
1.145	0.227328	0.227328	0.197961	0.197961	0.177115	0.177115
1.15	0.234119	0.234119	0.203887	0.203887	0.182422	0.182422
1.155	0.240848	0.240849	0.209762	0.209762	0.187684	0.187684
1.16	0.247517	0.247518	0.215585	0.215585	0.192899	0.192899
1.165	0.254126	0.254127	0.221357	0.221357	0.19807	0.19807
