t 	 error 
0.0001	-0.323533
0.0002	-0.768758
0.0003	-1.07139
0.0004	-1.20563
0.0005	-1.29347
0.0006	-1.38531
0.0007	-1.46204
0.0008	-1.51802
0.0009	-1.57011
0.001	-1.61898
0.0011	-1.66504
0.0012	-1.70575
0.0013	-1.73957
0.0014	-1.7722
0.0015	-1.80362
0.0016	-1.83386
0.0017	-1.86296
0.0018	-1.88886
0.0019	-1.91194
0.002	-1.93445
0.0021	-1.95638
0.0022	-1.97774
0.0023	-1.99854
0.0024	-2.0188
0.0025	-2.03748
0.0026	-2.05429
0.0027	-2.07079
0.0028	-2.08698
0.0029	-2.10286
0.003	-2.11844
0.0031	-2.13372
0.0032	-2.1487
0.0033	-2.16335
0.0034	-2.17616
0.0035	-2.18879
0.0036	-2.20124
0.0037	-2.21351
0.0038	-2.2256
0.0039	-2.23751
0.004	-2.24925
0.0041	-2.26081
0.0042	-2.2722
0.0043	-2.28306
0.0044	-2.29305
0.0045	-2.30292
0.0046	-2.31268
0.0047	-2.32233
0.0048	-2.33187
0.0049	-2.34129
0.005	-2.35061
0.0051	-2.35981
0.0052	-2.36891
0.0053	-2.3779
0.0054	-2.38659
0.0055	-2.39461
0.0056	-2.40256
0.0057	-2.41043
0.0058	-2.41823
0.0059	-2.42596
0.006	-2.43362
0.0061	-2.4412
0.0062	-2.44871
0.0063	-2.45615
0.0064	-2.46352
0.0065	-2.47082
0.0066	-2.47805
0.0067	-2.48476
0.0068	-2.4913
0.0069	-2.4978
0.007	-2.50425
0.0071	-2.51065
0.0072	-2.51699
0.0073	-2.52329
0.0074	-2.52954
0.0075	-2.53574
0.0076	-2.54189
0.0077	-2.54799
0.0078	-2.55405
0.0079	-2.56005
0.008	-2.56601
0.0081	-2.57154
0.0082	-2.57699
0.0083	-2.58242
0.0084	-2.5878
0.0085	-2.59315
0.0086	-2.59847
0.0087	-2.60375
0.0088	-2.609
0.0089	-2.61421
0.009	-2.61939
0.0091	-2.62453
0.0092	-2.62964
