x 	 analitycal w t = 0.5	PCMN_THOMAS w t = 0.5	analitycal w t = 1	PCMN_THOMAS w t = 1	analitycal w t = 1.99999	PCMN_THOMAS w t = 1.99999
1	0	0	0	0	0	0
1.005	0.00894468	0.00894474	0.00778203	0.00778205	0.00695992	0.00695992
1.01	0.0178007	0.0178008	0.015487	0.015487	0.0138509	0.0138509
1.015	0.0265693	0.0265694	0.0231159	0.023116	0.020674	0.020674
1.02	0.0352516	0.0352518	0.03067	0.0306701	0.0274301	0.0274302
1.025	0.0438488	0.0438491	0.0381502	0.0381503	0.0341203	0.0341204
1.03	0.0523621	0.0523624	0.0455577	0.0455578	0.0407455	0.0407455
1.035	0.0607925	0.0607929	0.0528934	0.0528935	0.0473066	0.0473066
1.04	0.0691412	0.0691416	0.0601582	0.0601584	0.0538045	0.0538045
1.045	0.0774093	0.0774097	0.0673533	0.0673535	0.0602401	0.0602402
1.05	0.0855977	0.0855982	0.0744796	0.0744798	0.0666144	0.0666144
1.055	0.0937076	0.0937082	0.081538	0.0815382	0.0729281	0.0729282
1.06	0.10174	0.101741	0.0885295	0.0885297	0.0791821	0.0791822
1.065	0.109696	0.109696	0.0954549	0.0954551	0.0853772	0.0853773
1.07	0.117576	0.117577	0.102315	0.102315	0.0915143	0.0915144
1.075	0.125382	0.125382	0.109111	0.109111	0.0975942	0.0975943
1.08	0.133114	0.133114	0.115844	0.115844	0.103618	0.103618
1.085	0.140773	0.140774	0.122514	0.122514	0.109585	0.109585
1.09	0.14836	0.148361	0.129122	0.129122	0.115498	0.115498
1.095	0.155877	0.155878	0.135669	0.135669	0.121357	0.121357
1.1	0.163323	0.163324	0.142156	0.142157	0.127162	0.127162
1.105	0.170701	0.170702	0.148584	0.148585	0.132914	0.132914
1.11	0.17801	0.178011	0.154953	0.154954	0.138614	0.138614
1.115	0.185251	0.185252	0.161265	0.161265	0.144263	0.144263
1.12	0.192426	0.192427	0.167519	0.16752	0.149861	0.149861
1.125	0.199535	0.199536	0.173717	0.173718	0.155409	0.155409
1.13	0.206578	0.20658	0.17986	0.17986	0.160908	0.160908
1.135	0.213558	0.213559	0.185947	0.185948	0.166358	0.166358
1.14	0.220474	0.220475	0.19198	0.191981	0.17176	0.17176
1.145	0.227327	0.227328	0.19796	0.197961	0.177115	0.177115
1.15	0.234118	0.234119	0.203887	0.203887	0.182422	0.182422
1.155	0.240847	0.240849	0.209762	0.209762	0.187683	0.187684
1.16	0.247516	0.247518	0.215585	0.215585	0.192899	0.192899
1.165	0.254125	0.254127	0.221357	0.221357	0.19807	0.19807
1.17	0.260675	0.260677	0.227078	0.227079	0.203196	0.203196
1.175	0.267166	0.267168	0.23275	0.232751	0.208278	0.208278
1.18	0.2736	0.273601	0.238373	0.238374	0.213316	0.213316
1.185	0.279975	0.279977	0.243948	0.243948	0.218312	0.218312
1.19	0.286295	0.286297	0.249474	0.249475	0.223265	0.223265
1.195	0.292558	0.29256	0.254953	0.254954	0.228176	0.228177
1.2	0.298766	0.298768	0.260386	0.260386	0.233047	0.233047
1.205	0.304919	0.304921	0.265772	0.265773	0.237876	0.237876
1.21	0.311018	0.31102	0.271112	0.271113	0.242665	0.242665
1.215	0.317064	0.317066	0.276408	0.276408	0.247414	0.247414
1.22	0.323056	0.323058	0.281658	0.281659	0.252124	0.252124
1.225	0.328997	0.328998	0.286865	0.286865	0.256795	0.256795
1.23	0.334885	0.334887	0.292028	0.292028	0.261427	0.261427
1.235	0.340722	0.340724	0.297147	0.297148	0.266021	0.266022
1.24	0.346508	0.34651	0.302224	0.302225	0.270578	0.270579
1.245	0.352244	0.352246	0.30726	0.30726	0.275098	0.275098
1.25	0.35793	0.357932	0.312253	0.312254	0.279581	0.279582
1.255	0.363567	0.363569	0.317205	0.317206	0.284028	0.284029
1.26	0.369156	0.369158	0.322117	0.322118	0.28844	0.28844
1.265	0.374696	0.374698	0.326988	0.326989	0.292815	0.292816
1.27	0.380189	0.380191	0.33182	0.33182	0.297156	0.297157
1.275	0.385634	0.385637	0.336612	0.336612	0.301463	0.301463
1.28	0.391033	0.391035	0.341365	0.341366	0.305735	0.305735
1.285	0.396386	0.396388	0.34608	0.34608	0.309973	0.309973
1.29	0.401693	0.401695	0.350756	0.350757	0.314178	0.314178
1.295	0.406955	0.406957	0.355395	0.355396	0.31835	0.31835
1.3	0.412171	0.412174	0.359997	0.359998	0.322489	0.322489
1.305	0.417344	0.417346	0.364562	0.364563	0.326596	0.326596
1.31	0.422473	0.422475	0.36909	0.369091	0.330671	0.330671
1.315	0.427558	0.42756	0.373583	0.373583	0.334715	0.334715
1.32	0.4326	0.432602	0.378039	0.37804	0.338727	0.338727
1.325	0.437599	0.437602	0.382461	0.382462	0.342708	0.342708
1.33	0.442556	0.442559	0.386847	0.386848	0.346659	0.346659
1.335	0.447472	0.447474	0.391199	0.3912	0.35058	0.35058
