t 	 error 
5e-05	-0.502837
0.0001	-0.869652
0.00015	-1.09643
0.0002	-1.19858
0.00025	-1.29493
0.0003	-1.38203
0.00035	-1.46037
0.0004	-1.52584
0.00045	-1.57078
0.0005	-1.61425
0.00055	-1.65593
0.0006	-1.69574
0.00065	-1.7337
0.0007	-1.76989
0.00075	-1.80441
0.0008	-1.83032
0.00085	-1.85494
0.0009	-1.879
0.00095	-1.90248
0.001	-1.92535
0.00105	-1.94762
0.0011	-1.9693
0.00115	-1.99039
0.0012	-2.01093
0.00125	-2.03083
0.0013	-2.04665
0.00135	-2.06223
0.0014	-2.07758
0.00145	-2.09269
0.0015	-2.10754
0.00155	-2.12215
0.0016	-2.13651
0.00165	-2.15062
0.0017	-2.16448
0.00175	-2.17811
0.0018	-2.19151
0.00185	-2.20467
0.0019	-2.21659
0.00195	-2.22737
0.002	-2.23804
0.00205	-2.24858
0.0021	-2.25901
0.00215	-2.26932
0.0022	-2.2795
0.00225	-2.28957
0.0023	-2.29951
0.00235	-2.30934
0.0024	-2.31904
0.00245	-2.32863
0.0025	-2.33811
0.00255	-2.34747
0.0026	-2.35672
0.00265	-2.36552
0.0027	-2.37337
0.00275	-2.38115
0.0028	-2.38888
0.00285	-2.39653
0.0029	-2.40412
0.00295	-2.41165
0.003	-2.41911
0.00305	-2.4265
0.0031	-2.43383
0.00315	-2.4411
0.0032	-2.4483
0.00325	-2.45544
0.0033	-2.46251
0.00335	-2.46952
0.0034	-2.47647
0.00345	-2.48335
0.0035	-2.49018
0.00355	-2.49674
0.0036	-2.50268
0.00365	-2.50859
0.0037	-2.51446
0.00375	-2.5203
0.0038	-2.52609
0.00385	-2.53185
0.0039	-2.53757
0.00395	-2.54325
0.004	-2.54889
0.00405	-2.55449
0.0041	-2.56006
0.00415	-2.56558
0.0042	-2.57107
0.00425	-2.57653
0.0043	-2.58194
0.00435	-2.58732
0.0044	-2.59266
0.00445	-2.59797
0.0045	-2.60324
0.00455	-2.60847
0.0046	-2.61345
0.00465	-2.6181
0.0047	-2.62273
0.00475	-2.62733
0.0048	-2.63191
0.00485	-2.63646
0.0049	-2.64099
0.00495	-2.6455
0.005	-2.64998
0.00505	-2.65444
0.0051	-2.65888
0.00515	-2.66329
0.0052	-2.66768
0.00525	-2.67204
0.0053	-2.67638
0.00535	-2.6807
0.0054	-2.68499
0.00545	-2.68926
0.0055	-2.69351
0.00555	-2.69774
0.0056	-2.70194
0.00565	-2.70612
0.0057	-2.71027
0.00575	-2.71441
0.0058	-2.71828
0.00585	-2.72201
0.0059	-2.72573
0.00595	-2.72943
0.006	-2.73311
0.00605	-2.73678
0.0061	-2.74043
0.00615	-2.74407
0.0062	-2.74769
0.00625	-2.75129
0.0063	-2.75488
0.00635	-2.75845
0.0064	-2.76201
0.00645	-2.76555
0.0065	-2.76908
0.00655	-2.77259
0.0066	-2.77609
0.00665	-2.77957
0.0067	-2.78303
0.00675	-2.78648
0.0068	-2.78992
0.00685	-2.79334
0.0069	-2.79674
0.00695	-2.80013
0.007	-2.80351
0.00705	-2.80687
0.0071	-2.81022
0.00715	-2.81331
0.0072	-2.81637
0.00725	-2.81941
0.0073	-2.82245
0.00735	-2.82547
0.0074	-2.82848
0.00745	-2.83148
0.0075	-2.83447
0.00755	-2.83745
0.0076	-2.84042
0.00765	-2.84338
0.0077	-2.84633
0.00775	-2.84927
0.0078	-2.85219
0.00785	-2.85511
0.0079	-2.85802
0.00795	-2.86091
0.008	-2.8638
0.00805	-2.86667
0.0081	-2.86953
0.00815	-2.87239
0.0082	-2.87523
0.00825	-2.87806
0.0083	-2.88089
0.00835	-2.8837
0.0084	-2.8865
0.00845	-2.88929
0.0085	-2.89208
0.00855	-2.89485
0.0086	-2.89759
0.00865	-2.90015
0.0087	-2.90269
0.00875	-2.90523
0.0088	-2.90776
0.00885	-2.91029
0.0089	-2.9128
0.00895	-2.91531
0.009	-2.91781
0.00905	-2.92031
0.0091	-2.92279
0.00915	-2.92527
0.0092	-2.92774
0.00925	-2.93021
0.0093	-2.93266
0.00935	-2.93511
0.0094	-2.93755
0.00945	-2.93998
0.0095	-2.94241
0.00955	-2.94483
0.0096	-2.94724
0.00965	-2.94964
0.0097	-2.95204
0.00975	-2.95443
0.0098	-2.95681
0.00985	-2.95919
0.0099	-2.96155
0.00995	-2.96392
0.01	-2.96627
0.01005	-2.96861
0.0101	-2.97095
0.01015	-2.97329
0.0102	-2.97561
0.01025	-2.97791
0.0103	-2.98007
0.01035	-2.98222
0.0104	-2.98437
0.01045	-2.98651
0.0105	-2.98865
0.01055	-2.99078
0.0106	-2.9929
0.01065	-2.99503
0.0107	-2.99714
0.01075	-2.99925
0.0108	-3.00135
0.01085	-3.00345
0.0109	-3.00555
0.01095	-3.00764
0.011	-3.00972
0.01105	-3.0118
0.0111	-3.01387
0.01115	-3.01593
0.0112	-3.01799
0.01125	-3.02005
0.0113	-3.0221
0.01135	-3.02415
0.0114	-3.02619
0.01145	-3.02822
0.0115	-3.03025
0.01155	-3.03227
0.0116	-3.03429
0.01165	-3.03631
0.0117	-3.03831
0.01175	-3.04032
0.0118	-3.04232
0.01185	-3.04431
0.0119	-3.0463
0.01195	-3.04828
0.012	-3.05025
0.01205	-3.05223
0.0121	-3.05407
0.01215	-3.05592
0.0122	-3.05776
0.01225	-3.0596
0.0123	-3.06143
0.01235	-3.06326
0.0124	-3.06508
0.01245	-3.0669
0.0125	-3.06872
0.01255	-3.07053
0.0126	-3.07234
0.01265	-3.07414
0.0127	-3.07594
0.01275	-3.07774
0.0128	-3.07953
0.01285	-3.08132
0.0129	-3.0831
0.01295	-3.08488
0.013	-3.08666
0.01305	-3.08843
0.0131	-3.0902
0.01315	-3.09196
0.0132	-3.09372
0.01325	-3.09548
0.0133	-3.09723
0.01335	-3.09898
0.0134	-3.10072
0.01345	-3.10246
0.0135	-3.1042
0.01355	-3.10593
0.0136	-3.10766
0.01365	-3.10938
0.0137	-3.11111
0.01375	-3.11282
0.0138	-3.11454
0.01385	-3.11625
0.0139	-3.11795
0.01395	-3.11965
0.014	-3.12135
0.01405	-3.12299
0.0141	-3.12458
0.01415	-3.12618
0.0142	-3.12777
0.01425	-3.12936
0.0143	-3.13094
0.01435	-3.13252
0.0144	-3.1341
0.01445	-3.13568
0.0145	-3.13725
0.01455	-3.13882
0.0146	-3.14039
0.01465	-3.14195
0.0147	-3.14351
0.01475	-3.14507
0.0148	-3.14662
0.01485	-3.14817
0.0149	-3.14972
0.01495	-3.15127
0.015	-3.15281
0.01505	-3.15435
0.0151	-3.15588
0.01515	-3.15742
0.0152	-3.15895
0.01525	-3.16047
0.0153	-3.162
0.01535	-3.16352
0.0154	-3.16504
0.01545	-3.16655
0.0155	-3.16806
0.01555	-3.16957
0.0156	-3.17108
0.01565	-3.17258
0.0157	-3.17408
0.01575	-3.17558
0.0158	-3.17708
0.01585	-3.17857
0.0159	-3.18006
0.01595	-3.18154
0.016	-3.18303
0.01605	-3.18451
0.0161	-3.18598
0.01615	-3.18746
0.0162	-3.18886
0.01625	-3.19026
0.0163	-3.19165
0.01635	-3.19304
0.0164	-3.19442
0.01645	-3.19581
0.0165	-3.19719
0.01655	-3.19857
0.0166	-3.19994
0.01665	-3.20132
0.0167	-3.20269
0.01675	-3.20406
0.0168	-3.20543
0.01685	-3.20679
0.0169	-3.20816
0.01695	-3.20952
0.017	-3.21088
0.01705	-3.21223
0.0171	-3.21358
0.01715	-3.21494
0.0172	-3.21629
0.01725	-3.21763
0.0173	-3.21898
0.01735	-3.22032
0.0174	-3.22166
0.01745	-3.223
0.0175	-3.22433
0.01755	-3.22566
0.0176	-3.22699
0.01765	-3.22832
0.0177	-3.22965
0.01775	-3.23097
0.0178	-3.23229
0.01785	-3.23361
0.0179	-3.23493
0.01795	-3.23624
0.018	-3.23756
0.01805	-3.23887
0.0181	-3.24017
0.01815	-3.24148
0.0182	-3.24278
0.01825	-3.24408
0.0183	-3.24538
0.01835	-3.24668
0.0184	-3.24798
0.01845	-3.24927
0.0185	-3.25051
0.01855	-3.25174
0.0186	-3.25296
0.01865	-3.25419
0.0187	-3.25541
0.01875	-3.25663
0.0188	-3.25784
0.01885	-3.25906
0.0189	-3.26027
0.01895	-3.26148
0.019	-3.26269
0.01905	-3.2639
0.0191	-3.26511
0.01915	-3.26631
0.0192	-3.26752
0.01925	-3.26872
0.0193	-3.26992
0.01935	-3.27111
0.0194	-3.27231
0.01945	-3.2735
0.0195	-3.27469
0.01955	-3.27588
0.0196	-3.27707
0.01965	-3.27826
0.0197	-3.27944
0.01975	-3.28062
0.0198	-3.28181
0.01985	-3.28298
0.0199	-3.28416
0.01995	-3.28534
0.02	-3.28651
0.02005	-3.28768
0.0201	-3.28885
0.02015	-3.29002
0.0202	-3.29119
0.02025	-3.29235
0.0203	-3.29352
0.02035	-3.29468
0.0204	-3.29584
0.02045	-3.297
0.0205	-3.29815
0.02055	-3.29931
0.0206	-3.30046
0.02065	-3.30161
0.0207	-3.30276
0.02075	-3.30391
0.0208	-3.30505
0.02085	-3.3062
0.0209	-3.30734
0.02095	-3.30847
0.021	-3.30956
0.02105	-3.31064
0.0211	-3.31173
0.02115	-3.31281
0.0212	-3.3139
0.02125	-3.31498
0.0213	-3.31606
0.02135	-3.31713
0.0214	-3.31821
0.02145	-3.31928
0.0215	-3.32036
0.02155	-3.32143
0.0216	-3.3225
0.02165	-3.32357
0.0217	-3.32464
0.02175	-3.3257
0.0218	-3.32677
0.02185	-3.32783
0.0219	-3.32889
0.02195	-3.32995
0.022	-3.33101
0.02205	-3.33207
0.0221	-3.33312
0.02215	-3.33418
0.0222	-3.33523
0.02225	-3.33628
0.0223	-3.33733
0.02235	-3.33838
0.0224	-3.33943
0.02245	-3.34048
0.0225	-3.34152
0.02255	-3.34256
0.0226	-3.34361
0.02265	-3.34465
0.0227	-3.34569
0.02275	-3.34672
0.0228	-3.34776
0.02285	-3.34879
0.0229	-3.34983
0.02295	-3.35086
0.023	-3.35189
0.02305	-3.35292
0.0231	-3.35395
0.02315	-3.35497
0.0232	-3.356
0.02325	-3.35702
0.0233	-3.35804
0.02335	-3.35907
0.0234	-3.36009
0.02345	-3.3611
0.0235	-3.36212
0.02355	-3.36314
0.0236	-3.36415
0.02365	-3.36512
0.0237	-3.36609
0.02375	-3.36706
0.0238	-3.36802
0.02385	-3.36899
0.0239	-3.36995
0.02395	-3.37092
0.024	-3.37188
0.02405	-3.37284
0.0241	-3.3738
0.02415	-3.37476
0.0242	-3.37572
0.02425	-3.37667
0.0243	-3.37763
0.02435	-3.37858
0.0244	-3.37954
0.02445	-3.38049
0.0245	-3.38144
0.02455	-3.38239
0.0246	-3.38334
0.02465	-3.38428
0.0247	-3.38523
0.02475	-3.38617
0.0248	-3.38712
0.02485	-3.38806
0.0249	-3.389
0.02495	-3.38994
0.025	-3.39088
0.02505	-3.39182
0.0251	-3.39275
0.02515	-3.39369
0.0252	-3.39462
0.02525	-3.39556
0.0253	-3.39649
0.02535	-3.39742
0.0254	-3.39835
0.02545	-3.39928
0.0255	-3.40021
0.02555	-3.40113
0.0256	-3.40206
0.02565	-3.40298
0.0257	-3.40391
0.02575	-3.40483
0.0258	-3.40575
0.02585	-3.40667
0.0259	-3.40759
0.02595	-3.40851
0.026	-3.40942
0.02605	-3.41034
0.0261	-3.41125
0.02615	-3.41217
0.0262	-3.41308
0.02625	-3.41399
0.0263	-3.4149
0.02635	-3.41581
0.0264	-3.41672
0.02645	-3.41761
0.0265	-3.41848
0.02655	-3.41935
0.0266	-3.42022
0.02665	-3.42109
0.0267	-3.42195
0.02675	-3.42282
0.0268	-3.42368
0.02685	-3.42455
0.0269	-3.42541
0.02695	-3.42627
0.027	-3.42713
0.02705	-3.42799
0.0271	-3.42885
0.02715	-3.42971
0.0272	-3.43056
0.02725	-3.43142
0.0273	-3.43228
0.02735	-3.43313
0.0274	-3.43398
0.02745	-3.43483
0.0275	-3.43569
0.02755	-3.43654
0.0276	-3.43739
0.02765	-3.43823
0.0277	-3.43908
0.02775	-3.43993
0.0278	-3.44077
0.02785	-3.44162
0.0279	-3.44246
0.02795	-3.4433
0.028	-3.44415
0.02805	-3.44499
0.0281	-3.44583
0.02815	-3.44667
0.0282	-3.4475
0.02825	-3.44834
0.0283	-3.44918
0.02835	-3.45001
0.0284	-3.45085
0.02845	-3.45168
0.0285	-3.45251
0.02855	-3.45335
0.0286	-3.45418
0.02865	-3.45501
0.0287	-3.45584
0.02875	-3.45666
0.0288	-3.45749
0.02885	-3.45832
0.0289	-3.45914
0.02895	-3.45997
0.029	-3.46079
0.02905	-3.46161
0.0291	-3.46244
0.02915	-3.46326
0.0292	-3.46408
0.02925	-3.4649
0.0293	-3.46572
0.02935	-3.46653
0.0294	-3.46735
0.02945	-3.46816
0.0295	-3.46895
0.02955	-3.46974
0.0296	-3.47052
0.02965	-3.4713
0.0297	-3.47209
0.02975	-3.47287
0.0298	-3.47365
0.02985	-3.47443
0.0299	-3.4752
0.02995	-3.47598
0.03	-3.47676
0.03005	-3.47753
0.0301	-3.47831
0.03015	-3.47908
0.0302	-3.47986
0.03025	-3.48063
0.0303	-3.4814
0.03035	-3.48218
0.0304	-3.48295
0.03045	-3.48372
0.0305	-3.48449
0.03055	-3.48525
0.0306	-3.48602
0.03065	-3.48679
0.0307	-3.48755
0.03075	-3.48832
0.0308	-3.48908
0.03085	-3.48985
