x 	 analitycal w t = 0.5	PCMN_LU w t = 0.5	analitycal w t = 1	PCMN_LU w t = 1	analitycal w t = 1.9999	PCMN_LU w t = 1.9999
1	0	0	0	0	0	0
1.01	0.0178007	0.0178015	0.015487	0.0154873	0.013851	0.0138511
1.02	0.0352516	0.0352532	0.03067	0.0306706	0.0274303	0.0274305
1.03	0.0523621	0.0523645	0.0455577	0.0455585	0.0407457	0.040746
1.04	0.0691412	0.0691444	0.0601582	0.0601594	0.0538048	0.0538052
1.05	0.0855977	0.0856017	0.0744796	0.074481	0.0666148	0.0666153
1.06	0.10174	0.101745	0.0885295	0.0885311	0.0791826	0.0791832
1.07	0.117576	0.117581	0.102315	0.102317	0.0915149	0.0915156
1.08	0.133114	0.13312	0.115844	0.115846	0.103618	0.103619
1.09	0.14836	0.148367	0.129122	0.129124	0.115499	0.1155
1.1	0.163323	0.163331	0.142156	0.142159	0.127162	0.127163
1.11	0.17801	0.178018	0.154953	0.154956	0.138615	0.138616
1.12	0.192426	0.192435	0.167519	0.167522	0.149862	0.149863
1.13	0.206578	0.206588	0.17986	0.179863	0.160909	0.16091
1.14	0.220474	0.220484	0.19198	0.191984	0.171761	0.171762
1.15	0.234118	0.234128	0.203887	0.203891	0.182423	0.182425
1.16	0.247516	0.247528	0.215585	0.215589	0.1929	0.192902
1.17	0.260675	0.260687	0.227078	0.227083	0.203197	0.203198
1.18	0.2736	0.273612	0.238373	0.238378	0.213317	0.213319
1.19	0.286295	0.286308	0.249474	0.249479	0.223266	0.223268
1.2	0.298766	0.29878	0.260386	0.260391	0.233048	0.23305
1.21	0.311018	0.311033	0.271112	0.271117	0.242666	0.242668
1.22	0.323056	0.323071	0.281658	0.281663	0.252125	0.252127
1.23	0.334885	0.3349	0.292028	0.292033	0.261429	0.261431
1.24	0.346508	0.346523	0.302224	0.30223	0.27058	0.270582
1.25	0.35793	0.357946	0.312253	0.312259	0.279583	0.279585
1.26	0.369156	0.369172	0.322117	0.322123	0.288441	0.288444
1.27	0.380189	0.380206	0.33182	0.331826	0.297158	0.29716
1.28	0.391033	0.391051	0.341365	0.341371	0.305737	0.305739
1.29	0.401693	0.401711	0.350756	0.350763	0.31418	0.314182
1.3	0.412171	0.41219	0.359997	0.360004	0.322491	0.322493
1.31	0.422473	0.422491	0.36909	0.369097	0.330673	0.330676
1.32	0.4326	0.432619	0.378039	0.378046	0.338729	0.338731
1.33	0.442556	0.442576	0.386847	0.386854	0.346661	0.346664
1.34	0.452346	0.452366	0.395517	0.395524	0.354473	0.354475
1.35	0.461971	0.461992	0.404051	0.404058	0.362166	0.362168
1.36	0.471436	0.471456	0.412453	0.41246	0.369743	0.369746
1.37	0.480743	0.480764	0.420725	0.420732	0.377208	0.37721
1.38	0.489895	0.489916	0.428869	0.428877	0.384561	0.384564
1.39	0.498895	0.498916	0.43689	0.436898	0.391806	0.391809
1.4	0.507745	0.507767	0.444788	0.444796	0.398945	0.398948
1.41	0.51645	0.516472	0.452566	0.452574	0.40598	0.405983
1.42	0.52501	0.525033	0.460227	0.460235	0.412913	0.412916
1.43	0.53343	0.533452	0.467773	0.467781	0.419746	0.419749
1.44	0.54171	0.541733	0.475205	0.475214	0.426481	0.426484
1.45	0.549855	0.549878	0.482528	0.482536	0.433121	0.433124
1.46	0.557866	0.557889	0.489742	0.48975	0.439666	0.439669
1.47	0.565745	0.565768	0.496849	0.496858	0.44612	0.446123
1.48	0.573495	0.573519	0.503851	0.50386	0.452483	0.452486
1.49	0.581118	0.581142	0.510751	0.510761	0.458757	0.458761
1.5	0.588617	0.588641	0.517551	0.51756	0.464945	0.464948
1.51	0.595992	0.596017	0.524252	0.524261	0.471048	0.471051
1.52	0.603248	0.603272	0.530855	0.530864	0.477067	0.47707
1.53	0.610384	0.610409	0.537363	0.537373	0.483004	0.483007
1.54	0.617405	0.617429	0.543778	0.543788	0.48886	0.488864
1.55	0.62431	0.624335	0.550101	0.55011	0.494638	0.494642
1.56	0.631103	0.631128	0.556333	0.556343	0.500338	0.500342
1.57	0.637785	0.63781	0.562477	0.562487	0.505963	0.505966
1.58	0.644358	0.644383	0.568534	0.568544	0.511512	0.511516
1.59	0.650823	0.650849	0.574505	0.574515	0.516989	0.516992
1.6	0.657184	0.657209	0.580392	0.580402	0.522393	0.522397
1.61	0.66344	0.663466	0.586196	0.586206	0.527726	0.52773
1.62	0.669594	0.66962	0.591919	0.591929	0.532991	0.532994
1.63	0.675647	0.675673	0.597561	0.597572	0.538187	0.538191
1.64	0.681602	0.681628	0.603126	0.603136	0.543316	0.54332
1.65	0.687459	0.687485	0.608612	0.608623	0.548379	0.548383
1.66	0.693221	0.693247	0.614023	0.614034	0.553377	0.553381
1.67	0.698888	0.698914	0.619359	0.61937	0.558312	0.558316
1.68	0.704462	0.704488	0.624622	0.624632	0.563184	0.563188
1.69	0.709944	0.709971	0.629812	0.629822	0.567995	0.567999
1.7	0.715337	0.715363	0.634931	0.634941	0.572746	0.57275
1.71	0.720641	0.720667	0.639979	0.63999	0.577437	0.577441
1.72	0.725858	0.725884	0.644959	0.64497	0.58207	0.582074
1.73	0.730988	0.731015	0.649871	0.649882	0.586645	0.586649
1.74	0.736034	0.736061	0.654716	0.654727	0.591163	0.591168
1.75	0.740997	0.741024	0.659495	0.659506	0.595627	0.595631
1.76	0.745878	0.745904	0.66421	0.664221	0.600035	0.600039
1.77	0.750678	0.750704	0.668861	0.668872	0.60439	0.604394
1.78	0.755398	0.755425	0.673449	0.67346	0.608691	0.608696
1.79	0.76004	0.760067	0.677975	0.677986	0.612941	0.612945
1.8	0.764605	0.764631	0.68244	0.682451	0.617139	0.617144
1.81	0.769094	0.76912	0.686846	0.686857	0.621287	0.621292
1.82	0.773508	0.773534	0.691192	0.691203	0.625385	0.62539
1.83	0.777848	0.777874	0.69548	0.695491	0.629435	0.629439
1.84	0.782115	0.782141	0.699711	0.699722	0.633436	0.63344
1.85	0.786311	0.786337	0.703885	0.703896	0.63739	0.637394
1.86	0.790436	0.790462	0.708004	0.708015	0.641297	0.641301
1.87	0.794492	0.794517	0.712067	0.712079	0.645158	0.645162
1.88	0.798479	0.798505	0.716077	0.716088	0.648974	0.648978
1.89	0.802399	0.802425	0.720034	0.720045	0.652745	0.65275
1.9	0.806252	0.806278	0.723938	0.723949	0.656472	0.656477
1.91	0.810041	0.810066	0.72779	0.727801	0.660157	0.660161
1.92	0.813764	0.813789	0.731591	0.731603	0.663798	0.663802
1.93	0.817424	0.817449	0.735342	0.735354	0.667397	0.667402
1.94	0.821022	0.821047	0.739044	0.739055	0.670955	0.67096
1.95	0.824558	0.824583	0.742696	0.742708	0.674473	0.674477
1.96	0.828033	0.828058	0.746301	0.746312	0.67795	0.677954
1.97	0.831448	0.831473	0.749858	0.749869	0.681387	0.681391
1.98	0.834805	0.834829	0.753368	0.753379	0.684785	0.68479
1.99	0.838103	0.838128	0.756832	0.756843	0.688145	0.68815
2	0.841345	0.841369	0.76025	0.760261	0.691467	0.691471
2.01	0.84453	0.844554	0.763623	0.763634	0.694751	0.694756
2.02	0.847659	0.847683	0.766952	0.766963	0.697999	0.698003
2.03	0.850734	0.850758	0.770238	0.770249	0.70121	0.701214
2.04	0.853755	0.853779	0.77348	0.773491	0.704385	0.70439
2.05	0.856723	0.856746	0.776679	0.77669	0.707525	0.707529
2.06	0.859639	0.859662	0.779837	0.779848	0.71063	0.710634
2.07	0.862503	0.862526	0.782953	0.782964	0.7137	0.713705
2.08	0.865316	0.865339	0.786028	0.78604	0.716737	0.716741
2.09	0.86808	0.868103	0.789064	0.789075	0.71974	0.719744
2.1	0.870794	0.870817	0.792059	0.79207	0.72271	0.722714
2.11	0.87346	0.873483	0.795015	0.795026	0.725647	0.725651
2.12	0.876078	0.876101	0.797932	0.797943	0.728552	0.728557
2.13	0.87865	0.878672	0.800811	0.800822	0.731425	0.73143
2.14	0.881175	0.881197	0.803652	0.803663	0.734267	0.734272
2.15	0.883654	0.883676	0.806456	0.806467	0.737078	0.737083
2.16	0.886089	0.88611	0.809224	0.809235	0.739859	0.739864
2.17	0.888479	0.8885	0.811955	0.811966	0.742609	0.742614
2.18	0.890826	0.890847	0.81465	0.814661	0.74533	0.745335
2.19	0.89313	0.89315	0.81731	0.817321	0.748021	0.748026
2.2	0.895391	0.895412	0.819935	0.819945	0.750684	0.750688
2.21	0.897611	0.897632	0.822525	0.822536	0.753317	0.753322
2.22	0.899791	0.899811	0.825082	0.825092	0.755923	0.755927
